input_length,output_length,latency,timestamp,architecture,scale
14,549,0.002103674,123930673,MoE,>100B
3618,272,0.000758741,123973542,MoE,>100B
2854,123,0.000741694,124899051,MoE,>100B
4210,283,0.001774702,124981450,MoE,>100B
4811,6,0.002659965,125022027,MoE,>100B
8483,319,0.000779222,125880869,MoE,>100B
4480,280,0.00163339,125886177,MoE,>100B
47644,905,0.000790195,126866781,MoE,>100B
6725,144,0.000799152,126938998,MoE,>100B
3725,54,0.00182844,127067298,MoE,>100B
1555,4308,0.015664965,127900114,MoE,>100B
2092,566,0.00168856,127984491,MoE,>100B
7633,370,0.001983942,128973597,MoE,>100B
1999,79,0.001501583,128976520,MoE,>100B
688,131,0.001656951,129108631,MoE,>100B
15,617,0.002799636,129900662,MoE,>100B
474,68,0.002129835,129979909,MoE,>100B
774,118,0.001684051,129988446,MoE,>100B
153,8309,0.001660319,130002482,MoE,>100B
431,66,0.002221195,130050703,MoE,>100B
2214,419,0.001280192,130051965,MoE,>100B
2985,179,0.001569869,130981773,MoE,>100B
8427,228,0.001820051,131985390,MoE,>100B
588,71,0.002120615,133086558,MoE,>100B
12991,3595,0.000783044,133948693,MoE,>100B
2127,727,0.002360095,134876197,MoE,>100B
316,656,2.481e-05,134936824,MoE,>100B
7,627,0.001542349,135039220,MoE,>100B
2207,384,0.000722294,135868177,MoE,>100B
573,67,0.002407815,135869725,MoE,>100B
472,66,0.000655722,136017308,MoE,>100B
4459,876,0.00156509,136894307,MoE,>100B
597,36,0.00160679,136994335,MoE,>100B
2139,157,0.000761762,137932742,MoE,>100B
619,81,0.000728122,137933669,MoE,>100B
2205,398,0.000709675,138862027,MoE,>100B
9538,1706,0.001382733,138971609,MoE,>100B
8165,403,0.00166303,138974234,MoE,>100B
4354,535,0.001555979,138997780,MoE,>100B
2878,159,0.001405343,139902954,MoE,>100B
1854,113,0.011298571,139909704,MoE,>100B
12369,105,0.001239103,139950709,MoE,>100B
15960,408,0.002223213,139961333,MoE,>100B
958,329,0.001558289,139968724,MoE,>100B
1860,168,0.001598959,139993002,MoE,>100B
5357,180,3.67e-05,139993227,MoE,>100B
2029,69,0.001643083,139996218,MoE,>100B
979,636,0.002212264,140075365,MoE,>100B
587,116,0.001018692,140883265,MoE,>100B
1846,97,0.000999436,140917568,MoE,>100B
7058,627,0.001511449,140986077,MoE,>100B
7984,108,0.007121616,141961991,MoE,>100B
575,65,0.002764206,142902607,MoE,>100B
4527,481,0.001688369,142916022,MoE,>100B
654,107,0.002208034,142943178,MoE,>100B
22,792,0.001860091,142944186,MoE,>100B
8836,151,0.002441585,142977426,MoE,>100B
3713,1074,0.000676203,143058307,MoE,>100B
8772,376,0.001075802,144017431,MoE,>100B
7951,157,0.001236893,145025329,MoE,>100B
5219,875,0.00164639,145091455,MoE,>100B
2071,781,0.002120685,145972440,MoE,>100B
7847,305,0.000695871,145979574,MoE,>100B
618,72,0.002092154,146030975,MoE,>100B
1812,53,0.002788275,147903197,MoE,>100B
666,106,0.016288873,148999053,MoE,>100B
105,34,0.000760685,148999590,MoE,>100B
2929,939,0.001638862,149003270,MoE,>100B
2029,455,0.000781132,151087649,MoE,>100B
3449,43,0.001323193,152066724,MoE,>100B
924,257,0.001005342,153013845,MoE,>100B
7818,54,0.000909006,153026276,MoE,>100B
10375,238,0.001216732,153033534,MoE,>100B
187,3169,0.00163115,153082239,MoE,>100B
603,43,0.001507428,154940337,MoE,>100B
11084,523,0.002146725,154950036,MoE,>100B
8226,509,0.002033185,154991773,MoE,>100B
101,3,0.001261722,155017190,MoE,>100B
1117,248,0.008111287,155062550,MoE,>100B
5289,1090,0.002860736,155918870,MoE,>100B
2165,122,0.002067475,156962802,MoE,>100B
9100,121,0.001467573,157118840,MoE,>100B
2791,920,0.00169903,157122966,MoE,>100B
29986,164,0.000748604,157999845,MoE,>100B
8861,13,0.000791264,158977128,MoE,>100B
828,394,0.002931196,159036386,MoE,>100B
1318,88,0.001469093,159887207,MoE,>100B
1178,251,0.00492187,159930459,MoE,>100B
8,841,0.007532535,159972956,MoE,>100B
2604,113,0.002244285,160060471,MoE,>100B
474,72,0.002600676,160067613,MoE,>100B
12135,411,0.001691731,160957858,MoE,>100B
4856,6,0.000773922,161065278,MoE,>100B
4983,6,0.001851152,161976645,MoE,>100B
917,303,0.002258314,163962461,MoE,>100B
248,20,0.002193064,164209269,MoE,>100B
2360,93,0.000713444,164948968,MoE,>100B
797,0,0.001276462,166000262,MoE,>100B
8756,16,0.001307673,166088312,MoE,>100B
4244,0,0.919098823,166092525,MoE,>100B
18066,1097,0.001290823,168153397,MoE,>100B
2108,810,0.001823524,168899831,MoE,>100B
424,72,0.002057323,168949162,MoE,>100B
2176,160,0.002214003,168998113,MoE,>100B
103,631,0.00153307,169003633,MoE,>100B
13,588,0.00160635,169038506,MoE,>100B
317,77,0.002034474,169943928,MoE,>100B
5382,120,0.001907714,170020084,MoE,>100B
2049,712,4.415e-05,170217883,MoE,>100B
512,333,0.000828365,171054635,MoE,>100B
101,3,0.001236343,171095694,MoE,>100B
12415,142,0.000781994,172864144,MoE,>100B
5963,154,0.001265873,174060373,MoE,>100B
1843,21,0.001021606,174863946,MoE,>100B
748,40,0.002062865,175951430,MoE,>100B
2824,614,0.001354523,176131946,MoE,>100B
1332,98,0.000850145,176963900,MoE,>100B
283,357,0.00145506,177038746,MoE,>100B
4465,490,0.002196735,177065830,MoE,>100B
101,5,0.002050553,178065532,MoE,>100B
5157,315,0.002056995,178093192,MoE,>100B
14,780,0.00162731,178994500,MoE,>100B
8494,240,0.001692321,179873633,MoE,>100B
2878,250,0.000891632,179909954,MoE,>100B
8690,189,0.001372499,179967933,MoE,>100B
786,161,0.001556369,180863806,MoE,>100B
3311,42,0.002159915,180983073,MoE,>100B
469,72,0.002145975,180989467,MoE,>100B
7194,121,0.001239688,181878577,MoE,>100B
397,98,0.002086225,182032034,MoE,>100B
238,6013,0.011780402,182943250,MoE,>100B
984,410,0.002936617,183017201,MoE,>100B
468,68,0.001628571,183875566,MoE,>100B
3562,641,0.002073604,183917252,MoE,>100B
5371,0,1.607517138,184019227,MoE,>100B
4589,115,0.001313492,184038229,MoE,>100B
617,56,0.001956151,184933631,MoE,>100B
2074,685,0.000702594,185091762,MoE,>100B
815,170,0.001927811,185907294,MoE,>100B
10537,120,0.000843275,186872749,MoE,>100B
1317,99,0.002750626,187062591,MoE,>100B
18514,325,0.001265762,187073708,MoE,>100B
4411,545,0.001582629,187997101,MoE,>100B
6898,298,0.002176864,188064714,MoE,>100B
3715,293,0.002114194,188066026,MoE,>100B
659,93,0.002087074,188110009,MoE,>100B
1228,300,0.001686261,188932489,MoE,>100B
2055,780,0.000709824,189053204,MoE,>100B
852,64,0.001805522,189895650,MoE,>100B
7787,247,0.00162149,190896014,MoE,>100B
3322,31,0.000794072,191043146,MoE,>100B
1778,344,0.001330592,191104107,MoE,>100B
2857,1969,2.413e-05,191959420,MoE,>100B
3423,113,0.000764935,192013854,MoE,>100B
610,57,0.001695241,192048527,MoE,>100B
8189,2192,0.002448975,192079219,MoE,>100B
472,71,0.00153464,192114738,MoE,>100B
645,47,0.001582919,192136498,MoE,>100B
99,3,0.000765575,192863248,MoE,>100B
30920,310,0.000692074,192898710,MoE,>100B
1950,93,0.001415933,192943378,MoE,>100B
2962,99,0.001323533,192997710,MoE,>100B
902,37,0.000805255,193979527,MoE,>100B
2821,220,0.001143403,193988541,MoE,>100B
7928,286,0.001815352,194884597,MoE,>100B
4702,5063,0.002189335,194953596,MoE,>100B
612,61,0.001199742,195000954,MoE,>100B
