input_length,output_length,latency,timestamp,architecture,scale
228,3,0.0017,246180566.0,Dense,30-100B
505,366,0.0021,247048184.0,Dense,30-100B
235,304,0.0013,248119747.0,Dense,30-100B
1204,425,0.0012,251092802.0,Dense,30-100B
118,41,0.0007,252219010.0,Dense,30-100B
408,751,0.0024,253189705.0,Dense,30-100B
703,6,0.0014,255030258.0,Dense,30-100B
3339,1474,0.0012,255085531.0,Dense,30-100B
2995,241,0.0012,256040657.0,Dense,30-100B
705,6,0.0021,256187700.0,Dense,30-100B
3224,120,0.0007,258056569.0,Dense,30-100B
3630,170,0.0015,258061682.0,Dense,30-100B
1360,228,0.0017,261075394.0,Dense,30-100B
1939,229,0.0021,263052656.0,Dense,30-100B
701,6,0.0008,264115205.0,Dense,30-100B
359,259,0.0027,264154635.0,Dense,30-100B
312,7,0.0021,265022645.0,Dense,30-100B
909,397,0.0022,265121430.0,Dense,30-100B
6203,692,0.0013,266074048.0,Dense,30-100B
1390,803,0.0014,267152144.0,Dense,30-100B
3321,1359,0.0013,269094683.0,Dense,30-100B
66,1779,0.0007,269148523.0,Dense,30-100B
2,0,0.0012,269164617.0,Dense,30-100B
2936,23,0.0007,270025663.0,Dense,30-100B
1757,627,0.0022,270055873.0,Dense,30-100B
582,70,0.0014,273033383.0,Dense,30-100B
1503,787,0.0008,273147543.0,Dense,30-100B
2243,237,0.0021,275061989.0,Dense,30-100B
115,29,0.0012,278024298.0,Dense,30-100B
1299,95,0.0027,279047949.0,Dense,30-100B
253,1,0.0144,280022664.0,Dense,30-100B
3191,1056,0.0021,280041142.0,Dense,30-100B
4170,745,0.0008,281022226.0,Dense,30-100B
222,3,0.0013,281026982.0,Dense,30-100B
6695,759,0.0021,281097469.0,Dense,30-100B
2956,300,0.0013,285251077.0,Dense,30-100B
1380,107,0.0018,287018307.0,Dense,30-100B
357,15,0.003,288125800.0,Dense,30-100B
5065,739,0.0021,289026249.0,Dense,30-100B
625,23,0.0009,290019807.0,Dense,30-100B
230,618,0.0021,292079815.0,Dense,30-100B
2202,421,0.0021,292100954.0,Dense,30-100B
223,5,0.0012,292173446.0,Dense,30-100B
2282,2088,0.0016,296109412.0,Dense,30-100B
1066,36,0.0012,299144737.0,Dense,30-100B
1348,1045,0.0007,300155387.0,Dense,30-100B
69,1,0.0008,300156782.0,Dense,30-100B
360,12,0.0018,301087933.0,Dense,30-100B
784,69,0.0012,302023726.0,Dense,30-100B
483,73,0.0007,302043213.0,Dense,30-100B
388,15,0.0008,305138588.0,Dense,30-100B
1659,194,0.0008,306162830.0,Dense,30-100B
320,2086,0.0013,307160171.0,Dense,30-100B
12,8,0.0013,310134342.0,Dense,30-100B
3205,265,0.0014,311005346.0,Dense,30-100B
1981,1344,0.0023,314141735.0,Dense,30-100B
238,696,0.0012,315103365.0,Dense,30-100B
865,541,0.0009,317009740.0,Dense,30-100B
3351,155,0.0016,318221193.0,Dense,30-100B
249,1236,0.0013,319009425.0,Dense,30-100B
748,7,0.0008,320094294.0,Dense,30-100B
6904,444,0.0077,320130104.0,Dense,30-100B
447,465,0.0022,320169412.0,Dense,30-100B
253,398,0.0014,322012101.0,Dense,30-100B
122,1028,0.0007,322140687.0,Dense,30-100B
2875,648,0.0012,324201762.0,Dense,30-100B
3767,91,0.0013,328080932.0,Dense,30-100B
3045,353,0.0007,332036555.0,Dense,30-100B
2135,29,0.0014,333087167.0,Dense,30-100B
146,1,0.0012,334163263.0,Dense,30-100B
7406,223,0.0006,336043471.0,Dense,30-100B
388,15,0.0013,337050962.0,Dense,30-100B
246,32,0.0012,338068290.0,Dense,30-100B
233,806,0.0007,341051937.0,Dense,30-100B
3643,158,0.0006,342136281.0,Dense,30-100B
1501,29,0.0009,344099277.0,Dense,30-100B
1840,1009,0.0012,345155327.0,Dense,30-100B
696,201,0.0021,346101556.0,Dense,30-100B
1808,109,0.0015,347073972.0,Dense,30-100B
238,498,0.0007,347078866.0,Dense,30-100B
225,3,0.0012,350015612.0,Dense,30-100B
2116,684,0.0012,350048717.0,Dense,30-100B
1105,426,0.0012,353024551.0,Dense,30-100B
6120,136,0.0022,353045423.0,Dense,30-100B
381,13,0.0009,354004941.0,Dense,30-100B
228,9,0.0012,355073906.0,Dense,30-100B
