input_length,output_length,latency,timestamp,architecture,scale
3034,142,0.000812556,366882753,Dense,30-100B
401,565,0.002213964,366947689,Dense,30-100B
5192,461,0.002316215,369023659,Dense,30-100B
5191,796,0.000849665,372829017,Dense,30-100B
1573,49,0.001269673,372852292,Dense,30-100B
12051,115,0.0016466,372950549,Dense,30-100B
10754,167,0.001898932,373908606,Dense,30-100B
2226,295,0.004456399,374929540,Dense,30-100B
226,3,0.002186053,376819691,Dense,30-100B
3617,140,0.001177073,376940088,Dense,30-100B
282,2450,0.000863364,377022424,Dense,30-100B
224,4,0.000726215,377787343,Dense,30-100B
12051,151,0.001785771,384960958,Dense,30-100B
256,601,0.001273943,385877013,Dense,30-100B
352,1065,0.00153425,388878526,Dense,30-100B
528,25,0.001512453,392795352,Dense,30-100B
3353,34,0.004038605,394826904,Dense,30-100B
504,1152,0.002097133,395904588,Dense,30-100B
10754,111,0.001683692,396791594,Dense,30-100B
203,8,0.001223142,396910612,Dense,30-100B
12051,169,0.002108753,397850714,Dense,30-100B
1050,132,0.001644551,398801430,Dense,30-100B
2232,299,0.001973212,398944489,Dense,30-100B
2886,14,0.006959242,398982401,Dense,30-100B
2296,316,0.002267384,399942938,Dense,30-100B
218,2,0.000780624,400904450,Dense,30-100B
538,85,0.001728944,401815723,Dense,30-100B
4761,54,0.001735891,401939107,Dense,30-100B
5148,183,0.001306993,402944302,Dense,30-100B
2489,763,0.001258132,406866972,Dense,30-100B
851,62,0.000925536,406908294,Dense,30-100B
2128,640,0.001419443,406925477,Dense,30-100B
771,55,0.003616745,408958913,Dense,30-100B
358,75,0.002165594,410847131,Dense,30-100B
253,525,0.001204552,410870215,Dense,30-100B
928,152,0.002217304,411997349,Dense,30-100B
588,39,0.002155404,413924078,Dense,30-100B
998,169,0.001267723,413980675,Dense,30-100B
428,5,0.001263772,416051846,Dense,30-100B
59,780,0.004404379,421987782,Dense,30-100B
12051,191,0.002230824,421992731,Dense,30-100B
11094,188,0.002254484,422015243,Dense,30-100B
404,44,0.001376212,422998509,Dense,30-100B
962,49,0.000813535,423986955,Dense,30-100B
343,4,0.000868496,424864107,Dense,30-100B
458,7,0.000720655,425857287,Dense,30-100B
10754,136,0.001643991,433002764,Dense,30-100B
515,664,0.001843224,433904223,Dense,30-100B
4623,177,0.001425593,433937713,Dense,30-100B
3658,221,0.001772352,434779421,Dense,30-100B
921,37,0.001352373,434955971,Dense,30-100B
104,1,0.001196542,435983744,Dense,30-100B
901,188,0.007603617,441112699,Dense,30-100B
1643,309,0.002173134,441932520,Dense,30-100B
11094,131,0.002180805,444802074,Dense,30-100B
923,33,0.001350733,445941854,Dense,30-100B
1666,84,0.000602131,447805321,Dense,30-100B
1387,112,0.002418585,447988412,Dense,30-100B
199,69,0.000715445,451052964,Dense,30-100B
1122,4,0.001248453,454111368,Dense,30-100B
2983,629,0.001515103,457095030,Dense,30-100B
224,3,0.001444243,457854302,Dense,30-100B
