gamma_shape,gamma_scale
0.281837183,71.06314867
0.28057656,71.80869692
0.278607305,73.85172781
0.279890816,71.66980593
0.279342746,71.30901012
0.280716517,70.00911534
0.278980793,71.63722448
0.281182817,69.17466127
0.282550895,68.17255016
0.27946446,70.59734508
0.278544024,71.49543178
0.279306001,70.85677965
0.277802686,72.50029276
0.280601407,70.03822064
0.279251712,70.2513665
0.282063791,66.74203484
0.285745314,62.91074339
0.284604509,63.49179728
0.285047307,63.93262178
0.280564221,67.83897616
0.27898531,69.55649146
0.279659552,68.39689659
0.282965022,64.87940602
0.28615051,61.67930505
0.283858061,64.3219087
0.284225394,63.74200487
0.281258355,66.83929529
0.282312352,64.97079165
0.281453712,65.64352127
0.280305205,67.13339353
0.281017669,65.91631014
0.280658342,66.84196423
0.279608926,67.98468335
0.282269401,64.66780385
0.281200537,65.75187062
0.282800365,63.90880627
0.282517242,63.76904222
0.282748039,64.15470791
0.281627797,65.16341573
0.281470582,65.03713504
0.28240214,63.93752504
0.281439966,64.70073602
0.280803788,65.33544617
0.281873391,64.94138045
0.283088246,63.06451848
0.282468077,63.64700292
0.283237593,63.58798113
0.28126411,65.32314311
0.281510379,64.96371844
0.283515973,62.87725827
0.281821051,64.58416393
0.285642364,60.62024638
0.285800569,60.0111191
0.284931183,61.24520594
0.284883113,61.88906323
0.284952213,60.96154602
0.283493432,62.18852636
0.282332988,63.53847019
0.285910428,59.84678382
0.284759212,61.0924457
0.287662373,58.27348435
0.286982572,59.42264279
0.289508637,57.03047511
0.287678573,58.76758859
0.289727853,56.93263098
0.288335727,58.65909962
0.290024846,57.08240742
0.290376882,56.90000351
0.291139492,56.03578427
0.29136335,55.21296162
0.293575281,53.5943988
0.295014325,52.59890488
0.295453423,52.17127885
0.299637815,49.47911573
0.294503423,53.07037728
0.296398262,51.68497937
0.299703404,49.33956338
0.300774354,48.93092134
0.300840167,48.95547275
0.299468673,49.37257072
0.300948386,48.68608869
0.298946512,49.8898353
0.301605415,48.3155335
0.302965869,47.55511975
0.30356114,47.21513522
0.304512484,46.69129954
0.305657846,45.66403805
0.304589023,46.77102171
0.304233641,46.85981552
0.304159734,47.3525087
0.305407909,46.31029628
0.30392796,47.1346356
0.305028942,46.15728954
0.304640641,45.96130018
0.305151343,45.38042408
0.306801004,44.65506646
0.30803248,44.14848028
0.311334509,42.28659702
0.309264032,42.89747481
0.307530225,43.82631036
0.300640471,48.91066141
0.293385586,54.40895559
0.295079602,53.3076459
0.297828685,50.91004653
0.295173959,53.27621844
0.290129068,57.32881232
0.292047665,55.98572896
0.291714254,56.2292569
0.291817217,56.0083861
0.294335911,54.23690731
0.293374779,55.57224388
0.29169582,56.59294075
0.291952752,56.47205224
0.288924756,58.78044484
0.29082601,57.04844985
0.28834667,59.0652978
0.288853031,58.61276225
0.2907677,57.26640503
0.29034187,56.74556144
0.288642197,58.10576891
0.287853626,58.52447418
0.288701592,58.06657866
0.289443797,57.8266273
0.290445067,56.86519125
0.290018125,56.94434191
0.288628056,58.40930356
0.289195666,58.34500649
0.285668528,61.27707162
0.286738595,60.43994337
0.284076489,62.46182891
0.284764993,62.03505027
0.285613271,61.06237824
0.284669185,62.15812717
0.284411078,62.49226379
0.284580333,62.21762902
0.283267779,63.21017907
0.283668036,62.31745721
0.285241475,61.18064147
0.285332762,61.17242798
0.286377048,59.79278286
0.28447309,61.61470038
0.28402428,62.08955828
0.283339578,62.20635155
0.285574355,60.33037426
0.285433687,60.27328314
0.28443854,61.25093121
0.286718364,59.18508878
0.286732686,59.35711333
0.288033275,57.72352389
0.285660122,59.74808496
0.286756577,58.79750404
0.285313552,60.20271025
0.286573486,59.2404521
0.284944028,60.61484263
0.286836469,59.08153258
0.288016435,57.80405599
0.28597119,60.11618392
0.285134466,61.11408991
0.286093375,60.01428869
0.285068686,60.52408974
0.282488982,63.78648832
0.284586619,61.49013953
0.286619816,59.97761734
0.286312391,60.34396281
0.285119491,60.90006024
0.283552324,63.08435745
0.286319787,59.53709277
0.288114927,57.87957193
0.287503329,59.19427494
0.287784531,58.88512077
0.285357202,60.89712353
0.282380053,63.95881527
0.281415476,65.0684198
0.281051297,65.25563532
0.282207317,64.46009829
0.280731656,66.13791744
0.282134704,64.9379284
0.280722574,66.10528683
0.284594268,62.01135511
0.284723463,62.03238212
0.284219745,62.70920382
0.283083544,64.0010606
0.282150009,65.40065486
0.281430366,66.46207073
0.281045571,67.1095263
0.279911866,68.24656917
0.279493779,68.88852522
0.280036465,67.77080981
0.27881678,69.0555096
0.279115956,69.26084945
0.277946715,70.72105915
0.278965821,69.5369594
0.27753985,70.78574372
0.278858019,70.51641081
0.278122737,70.49593359
0.275572831,74.79252079
0.274951741,75.31089185
0.275553039,74.48969582
0.276182804,73.61422848
0.275038932,75.18874396
0.277069066,73.6542224
