gamma_shape,gamma_scale
0.27155073,286.1773124
0.271189438,270.2050162
0.275637231,254.7917881
0.276282278,243.6915197
0.278657543,232.966897
0.279103052,225.7479125
0.28444754,206.6598816
0.280998646,206.2410543
0.283377416,208.9351486
0.288603744,178.5804625
0.287313968,172.8032654
0.289383527,168.7281547
0.287251141,172.3793915
0.288079178,162.8071848
0.285954572,170.7571088
0.286253098,168.2569434
0.290088998,156.2230224
0.289942554,156.1308631
0.292548023,151.1917147
0.29281182,149.0337254
0.291795753,150.5480176
0.290878098,147.7361595
0.290980475,146.3552333
0.293177035,144.8305968
0.29103527,144.9939046
0.292324257,142.2624866
0.292262999,145.8627774
0.291570475,144.6511885
0.294092825,142.8215744
0.295706932,137.6131532
0.298999847,137.0424997
0.294773715,140.547523
0.294884401,139.910626
0.288406558,144.3015324
0.280892569,148.2997501
0.283527705,144.3482902
0.283202648,141.3023593
0.28310043,146.8280116
0.277760236,152.925302
0.27904888,152.8824963
0.279414264,149.9620023
0.280383092,150.1067318
0.281720365,149.4446445
0.280332912,149.4123369
0.279110651,153.5515659
0.279037683,150.8445623
0.276854841,159.7648663
0.278622891,156.4060202
0.275232115,165.4195044
0.275307532,162.9847318
0.276625983,166.1388653
0.275547291,166.8720791
0.275960548,173.322593
0.274228485,172.0661358
0.274213964,177.2475683
0.275242202,177.7968415
0.275890882,175.1902301
0.277576207,179.788548
0.274790503,183.1264986
0.274519771,187.9787634
0.272399858,195.0024003
0.273136877,194.5197311
0.271001806,207.7557269
0.27102671,209.2367602
0.269637509,210.328386
0.270481692,203.3795733
0.269766483,214.4424042
0.268995501,221.1210624
0.26857135,220.4260371
0.269456656,226.1418189
0.269333472,229.2182967
0.270159754,225.0511256
0.272372969,223.2603821
0.268504264,231.3971078
0.267605494,246.8143542
0.267475153,250.0929329
0.270330559,245.6291385
0.267960105,242.8672801
0.268469434,242.7783984
0.271889926,235.2975835
0.270223338,245.0704026
0.273189282,230.5655252
0.268885616,236.0344101
0.27036338,234.9442825
0.266814229,241.4242098
0.269780098,236.7582262
0.267534375,248.8187235
0.269391077,244.0315464
0.270895492,238.9943771
0.268673215,235.0072432
0.268463826,233.482373
0.26997681,226.5245342
0.268394156,238.7210584
0.265201421,227.4004958
0.2702753,222.6453049
0.269872215,217.2714545
0.272436117,216.7357433
0.270513959,215.9832531
0.268639391,227.6218157
0.272129213,215.5984751
0.272456779,202.9390208
0.270573167,211.0762763
0.271761803,207.3391249
0.270349712,212.5305577
0.265771555,218.9046409
0.265934684,218.8179055
0.265930835,213.9763208
0.268889448,204.6152763
0.26748246,210.7345209
0.267752076,207.3210377
0.266696513,212.7454307
0.269896809,207.2504297
0.268472225,204.5063786
0.271182056,196.3635317
0.269610127,203.3401037
0.267872214,202.0236498
0.269234196,205.2609413
0.266420256,209.5787791
0.266332656,205.896488
0.265605612,204.1608923
0.267693644,204.6577201
0.265332728,204.838516
0.26471868,211.1855906
0.263703681,214.0216595
0.266323476,210.7969761
0.264752624,213.1846825
