gamma_shape,gamma_scale
0.537740523,3300.708761
0.600264227,2506.804393
0.599627036,2268.377006
0.642433689,2289.432899
0.517447193,2501.005988
0.45463161,2095.659746
0.610411854,2288.572795
0.541811988,2620.312974
0.489730823,2557.767634
0.558471576,2190.036563
0.476698782,2305.40834
0.571582166,2041.599493
0.575169954,2091.32248
0.54327185,2487.005356
0.478568057,2118.390276
0.492828611,2535.600895
0.474887568,2510.649003
0.553202295,2178.524329
0.502959689,2439.720971
0.53267589,2247.414358
0.49159311,2366.210802
0.466272572,2416.817096
0.552984673,1832.879107
0.527331768,2038.775544
0.603522067,2097.910069
0.558095597,2449.01485
0.562039892,2159.400734
0.473731548,2437.633275
0.557090703,2060.62382
0.587166658,1806.346323
0.48047827,2699.573086
0.545956484,2206.051278
0.631035751,2112.280394
0.584524537,2061.161029
0.61513639,2178.189994
0.544199972,2482.593655
0.593657746,2339.070475
0.530668857,2199.426819
0.586823632,2391.51763
0.533815378,2660.864478
0.588613701,2174.439992
0.622741009,2482.302611
0.550293006,2444.853262
0.529770113,2113.375159
0.546230096,2235.981986
0.49521515,2413.921217
0.586450672,2165.634785
0.702635902,1860.569644
0.596593035,2036.966182
0.56094328,2608.898182
0.601326361,1911.182263
0.566569295,2043.717064
0.542877547,2382.228974
0.549605193,2115.59898
0.535294085,2106.901723
0.552639771,2353.787273
0.554962948,2207.947977
0.533218773,2432.260059
0.580636683,2027.722522
0.623405519,2054.596518
0.554313111,2395.159191
0.600140444,2402.770907
0.579916029,2068.934019
0.527900788,2258.333434
0.5667278,2292.059832
0.548009424,2473.612686
0.506681777,2366.455427
0.601247442,2434.312877
0.497464499,2492.133483
0.533600504,2322.798182
0.572599171,2417.889428
0.584529283,2110.055697
0.542430842,2203.875788
0.476684089,2264.43214
0.541326257,2406.899225
0.499312978,2794.714478
0.484365851,2338.523156
0.505870249,2632.430242
0.510335075,2409.337969
0.557442748,2612.632795
0.516011818,2465.323713
0.538811306,2243.373529
0.540931808,2289.757216
0.500364361,2411.012883
0.505465735,2214.93674
0.54149417,2473.282135
0.494397975,2838.848859
0.477390335,2584.260152
0.516826193,2626.498921
0.543452728,2123.289906
0.465472553,2263.078031
0.474048611,2576.808011
0.533769226,2081.264264
0.495842294,2139.505154
0.496722866,2270.467721
0.518023337,2053.620455
0.495823984,2092.285834
0.50024155,1922.458358
0.471170653,2280.373008
0.570910653,1911.544588
0.502747581,2124.00681
0.44984862,2307.083853
0.509093627,2142.695705
0.491716877,2026.782851
0.531557745,1973.431895
0.579620265,2005.233775
0.493787775,2131.493158
0.469986578,2264.159459
0.482761553,2180.056689
0.524484569,1875.312311
0.495697807,2282.451119
0.50629459,1975.810728
0.515815109,2217.004454
0.509347556,2088.557027
0.500927758,2314.449688
0.489538919,2236.127692
0.552803137,1972.45703
0.509754255,2156.070153
0.527645864,2246.895689
0.513330627,2497.940244
0.508499128,2622.016952
0.560087411,2399.269967
0.498130084,2214.524597
0.504783208,2055.932099
0.495680375,2564.263482
0.533152507,2575.248137
0.565445615,2011.113963
0.589758011,2179.069008
0.543531304,1897.55273
0.479836732,1781.81464
0.49665845,1836.186311
0.563340664,2209.698956
0.533622786,2646.436938
0.558018601,2580.567713
0.511482902,2725.082948
0.599076974,2434.029007
0.51797445,3014.653272
0.526408757,2687.920144
0.437923352,2985.291829
0.543712408,2639.720525
0.545600317,3413.602306
0.572132669,3665.646495
0.636477265,2916.335513
0.578958763,3922.805911
0.553189587,3442.967781
0.628647159,3549.733454
0.516184615,3749.358726
0.57504024,2740.422832
