gamma_shape,gamma_scale
0.364489552,1030.185536
0.374964678,1068.664967
0.378769621,963.0361993
0.367767103,920.6250848
0.364354043,1007.056627
0.369303958,997.6026439
0.370535982,980.53758
0.369547031,1006.882857
0.367241027,976.0826284
0.361849062,984.3640585
0.390445419,1012.115073
0.386657668,1041.185998
0.377153726,1041.793894
0.378564804,966.3583724
0.35786207,1026.36933
0.36461479,994.7985355
0.368956698,1027.90611
0.381712778,1052.197461
0.37537344,1019.42699
0.351033704,1007.512914
0.354581186,985.2348766
0.3675569,1061.070819
0.356813766,1052.441618
0.351464678,970.973243
0.349517034,975.5929763
0.344044759,977.6044459
0.343983292,888.0149954
0.36604361,1024.249541
0.369024738,1015.506087
0.355831381,1009.384397
0.378740395,1032.713656
0.364374967,1076.309922
0.368327423,948.0069308
0.349927212,1005.196486
0.371256318,1014.098809
0.361360811,954.1550769
0.366875283,1010.946338
0.369968653,1055.642644
0.364689388,1082.500147
0.375180316,977.3719295
0.354408802,1067.354839
0.36149198,1033.540048
0.364952055,1012.313283
0.369815928,1015.266783
0.345049744,1013.502054
0.359119282,993.2311748
0.374034445,1025.559635
0.376897785,982.9072233
0.361051121,1011.837913
0.351172264,1076.011057
0.37427749,1015.014494
0.370534263,970.5769607
0.35705595,1039.867398
0.368076116,1012.742865
0.358324379,947.8843088
0.386191263,1051.43972
0.375652733,1110.645369
0.368923798,1089.746756
0.332828581,824.9646693
0.369358944,1104.745467
0.378371377,1166.054033
0.375284899,1125.897674
0.359352719,1151.507193
0.380276292,1122.194478
0.372902397,1082.779839
0.354841412,1006.459003
0.356403216,1140.546892
0.382204784,1110.222605
0.373665434,1133.8204
0.372293966,1136.770977
0.359695245,1136.270712
0.389053874,1125.269941
0.377984713,1197.737104
0.382081854,1176.859532
0.406126622,1073.954067
0.347455738,1055.500222
0.373367363,1130.020565
0.37317132,1277.781688
0.374016824,1206.459338
0.396772259,1164.9396
0.388140384,1209.207412
0.384100755,1270.288997
0.383642878,1227.381005
0.37943771,1248.904641
0.367521585,1318.819597
0.386083998,1177.275606
0.376471818,1226.108734
0.387055025,1201.679991
0.375716007,1154.031615
0.372736755,1247.416933
